Movie,Release Year,Duration(Hrs),Certificate,Genres,Rating,Votes
Jurassic Park,1993,2.12,UA,"Action, Adventure, Sci-Fi",8.2,1081097
Ran,1985,2.67,Not Rated,"Action, Drama, War",8.2,137880
The Sixth Sense,1999,1.78,A,"Drama, Mystery, Thriller",8.2,1063893
El Laberinto Del Fauno,2006,1.97,R,"Drama, Fantasy, War",8.2,708137
Unforgiven,1992,2.17,A,"Drama, Western",8.2,440317
No Country for Old Men,2007,2.03,18,"Crime, Drama, Thriller",8.2,1075782
The Thing,1982,1.82,A,"Horror, Mystery, Sci-Fi",8.2,473699
A Beautiful Mind,2001,2.25,UA,"Biography, Drama, Mystery",8.2,996067
Kill Bill: Vol. 1,2003,1.85,A,"Action, Crime, Thriller",8.2,1209283
The Treasure of the Sierra Madre,1948,2.1,Approved,"Adventure, Drama, Western",8.2,133506
Yojimbo,1961,1.83,U,"Action, Drama, Thriller",8.2,132832
The Great Escape,1963,2.87,U,"Adventure, Drama, Thriller",8.2,261205
Monty Python and the Holy Grail,1975,1.52,U,"Adventure, Comedy, Fantasy",8.2,574691
Finding Nemo,2003,1.67,U,"Animation, Adventure, Comedy",8.2,1124900
Prisoners,2013,2.55,A,"Crime, Drama, Mystery",8.2,824564
Hauru No Ugoku Shiro,2004,1.98,U,"Animation, Adventure, Family",8.2,458359
Rashōmon,1950,1.47,U,"Crime, Drama, Mystery",8.2,182679
The Elephant Man,1980,2.07,UA,"Biography, Drama",8.2,260869
Dial M for Murder,1954,1.75,A,"Crime, Thriller",8.2,190989
Chinatown,1974,2.17,UA,"Drama, Mystery, Thriller",8.1,354041
Gone with the Wind,1939,3.97,U,"Drama, Romance, War",8.2,337149
"Lock, Stock and Two Smoking Barrels",1998,1.78,A,"Action, Comedy, Crime",8.1,621138
V for Vendetta,2005,2.2,UA,"Action, Drama, Sci-Fi",8.1,1188283
El Secreto De Sus Ojos,2009,2.15,R,"Drama, Mystery, Romance",8.2,224610
Inside Out,2015,1.58,U,"Animation, Adventure, Comedy",8.1,818922
Raging Bull,1980,2.15,A,"Biography, Drama, Sport",8.1,383883
